Question,Answer A,Answer B,Correct Question A,Correct Question B
"팀 회의에서 새로운 기능을 논의할 때 당신은 어떤 스타일을 선호하시나요?","다양한 아이디어를 즉석에서 공유하고 팀원들과 활발하게 토론하며 화이트보드에 함께 기능 플로우를 그려가는 것을 즐깁니다.","먼저 팀원들의 의견을 경청하고 노트에 정리한 후, 깊이 있게 분석한 의견을 제시하는 것을 선호합니다.",Answer E,Answer I
"제품 개발 과정에서 외부 이해관계자들과의 미팅이 잡혔을 때, 당신은 어떤 방식으로 참여하시나요?","적극적으로 대화를 주도하며 다양한 관점에서 의견을 교환하고 그 자리에서 해결책을 도출하려 노력합니다.","미팅 전에 충분한 준비를 하고, 핵심적인 부분에서 깊이 있는 의견을 제시하는 것을 선호합니다.",Answer E,Answer I
"사용자 리서치를 진행할 때 선호하는 방식은 무엇인가요?","다수의 사용자와 직접 대화하며 다양한 피드백을 수집하고 즉각적인 인사이트를 얻는 것을 선호합니다.","소수의 핵심 사용자와 깊이 있는 인터뷰를 진행하고 상세한 분석을 하는 것을 선호합니다.",Answer E,Answer I
"제품 로드맵을 수립할 때 당신의 접근 방식은?","현재 시장 상황과 사용자의 실제 니즈에 기반하여 구체적이고 실현 가능한 계획을 수립합니다.","미래의 시장 변화와 기술 발전을 예측하여 혁신적이고 도전적인 비전을 제시합니다.",Answer S,Answer N
"사용자 피드백을 분석할 때 당신의 관점은?","구체적인 사용 데이터와 행동 패턴을 중심으로 실질적인 개선점을 도출합니다.","피드백 속에 숨어있는 패턴과 잠재적 기회를 발견하여 새로운 가능성을 모색합니다.",Answer S,Answer N
"기능 기획 단계에서 당신이 중요하게 생각하는 것은?","현재 사용자들의 구체적인 문제점과 니즈를 해결하는 실용적인 기능을 만드는 것입니다.","미래의 사용자 경험을 혁신할 수 있는 창의적이고 독특한 기능을 제안하는 것입니다.",Answer S,Answer N
"팀 내 기술적 난제가 발생했을 때 당신의 접근 방식은?","문제의 원인을 논리적으로 분석하고 가장 효율적인 해결책을 찾아 제시합니다.","팀원들의 우려와 부담을 고려하여 모두가 공감할 수 있는 해결 방안을 모색합니다.",Answer T,Answer F
"제품 우선순위를 결정할 때 당신의 판단 기준은?","데이터와 비즈니스 임팩트를 기반으로 객관적인 우선순위를 설정합니다.","팀의 역량과 사용자의 감정적 반응을 고려하여 균형 잡힌 결정을 내립니다.",Answer T,Answer F
"팀원의 업무 성과를 피드백할 때 당신의 스타일은?","명확한 데이터와 구체적인 사례를 들어 개선이 필요한 부분을 직접적으로 전달합니다.","상대방의 노력을 인정하고 긍정적인 부분을 강조하면서 부드럽게 피드백을 전합니다.",Answer T,Answer F
"신규 기능 출시를 앞두고 있을 때 당신의 행동 스타일은?","세부적인 체크리스트를 만들어 철저히 검증하고 계획된 일정에 맞춰 진행합니다.","상황에 따라 유연하게 일정을 조정하며 마지막까지 개선사항을 반영합니다.",Answer J,Answer P
"프로젝트 관리 시 당신의 선호도는?","명확한 마일스톤과 데드라인을 설정하고 체계적으로 진행 상황을 관리합니다.","상황과 컨텍스트에 따라 우선순위를 유연하게 조정하며 진행합니다.",Answer J,Answer P
"업무 환경에서 당신이 선호하는 방식은?","체계적인 프로세스와 명확한 역할 분담으로 예측 가능한 환경에서 일하는 것을 선호합니다.","상황에 따라 역할을 유연하게 조정하고 즉흥적인 변화에 대응하며 일하는 것을 선호합니다.",Answer J,Answer P
